project ID,project name,companies of project,role of company,location of company,source,
VCS5962,"Recovery and Avoidance of methane from Industrial wastewater treatment project at Agro Muara Rupit mill, Indonesia",Knowledge Intergration Services (Singapore) Pte. Ltd,Project Proponent,India,https://kisgroup.net/,
VCS5962,"Recovery and Avoidance of methane from Industrial wastewater treatment project at Agro Muara Rupit mill, Indonesia",PT KIS Biofuels Indonesia,Owner,South Jakarta,https://companieshouse.id/kis-biofuels-indonesia,
VCS5962,"Recovery and Avoidance of methane from Industrial wastewater treatment project at Agro Muara Rupit mill, Indonesia",Sipef Group,Director,North Sumatra,https://www.sipef.com/sipef-indonesia/,
VCS4705,KIS BIOFUELS - UKINDO PROJECT,PT KIS Biofuels Indonesia,Project Proponent,South Jakarta,https://companieshouse.id/kis-biofuels-indonesia,
VCS4705,KIS BIOFUELS - UKINDO PROJECT,PT United Kingdom Indonesia Plantations,Mill Owner,North Sumatra,https://www.angloeastern.co.uk/,
VCS5956,AgriCapture Southeast Asia Rice Methane Project,"AgriCapture, Inc. ","Project Proponent, Owner","TN, United States",https://agricapture.com/,
VCS5956,AgriCapture Southeast Asia Rice Methane Project,AgriTC,Implementation Partner,West  Nusa Tenggara,?,
VCS5930,Charged EV Project in Indonesia,PT Charged Tech Indonesia,Project Proponent,Banten,https://charged.asia/,
VCS5930,Charged EV Project in Indonesia,Aquila Climate Technology Holding Pte. Ltd.,Project Representative,Singapore,https://aquila.is/,
VCS5798,KALTIM HUTAMA IFM PROJECT,PT KALTIM HUTAMA,Project Proponent,West Papua,https://www.sinarwijayagroup.com/our-companies/kaltim+hutama,
VCS5798,KALTIM HUTAMA IFM PROJECT,CERPD Co. Ltd.,Technical support,"Seoul, Republic of Korea",https://www.cerpd.com/index_en.php,
VCS5722,JATI DHARMA INDAH PLYWOOD INDUSTRIES IFM PROJECT 1,PT Jati Dharma Indah Plywood Industries,Project Owner,Central Papua,https://sinarwijayagroup.com/our-companies/jati+dharma+indah+plywood+industries,
VCS5722,JATI DHARMA INDAH PLYWOOD INDUSTRIES IFM PROJECT 1,CERPD Co. Ltd.,Project Developer,"Seoul, Republic of Korea",https://www.cerpd.com/index_en.php,
VCS5620,Carbon Agroforestry in Java Island - Indonesia,Yayasan Gajah Sumatera (YAGASU),Project Proponent ,East Java & North Sumatra,https://yagasu.or.id/contact-us/,
VCS5620,Carbon Agroforestry in Java Island - Indonesia,EVI Green Markets Pte. Ltd.,Project Proponent,Singapore,https://www.sgpbusiness.com/company/Evi-Green-Markets-Pte-Ltd,
VCS5448,"BLUERIZON PROJECT: BLUE CARBON PROJECT ON TIDAL WETLAND OF MANGROVES IN JAVA-1, INDONESIA ",APOLOWNIA SAS,Project Developer,"Paris, France",https://www.apolownia.com/,
VCS5448,"BLUERIZON PROJECT: BLUE CARBON PROJECT ON TIDAL WETLAND OF MANGROVES IN JAVA-1, INDONESIA ",Yayasan Gajah Sumatera (YAGASU),Project Implementation,East Java & North Sumatra,https://yagasu.or.id/contact-us/,
VCS5545,YAKOPI Mangrove Restoration Project,Yayasan Konservasi Pesisir Indonesia (YAKOPI),Project Implementer,North Sumatra,https://www.yakopi.org/,
