company,person,position,source,notes,project_id,trust_level
180 Climate PTE.Ltd,Soedartono Lay,Contact (no title in PDD),PDD VCS5520 dated 2025,From PDD 2025,VCS5520,recent_pdd
"AgriCapture, Inc. ",Tyler Hull,Chief Executive Officer,https://agricapture.com/about,Executive Leadership,VCS5956,direct_website
"AgriCapture, Inc. ",John Farris,Founder & Executive Chairman,https://agricapture.com/about,Executive Leadership,VCS5956,direct_website
"AgriCapture, Inc. ",John Lanahan,Director of Demand,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Wally Macey,Director of Technology,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Ashton Moody,Director of Product,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Jennifer Wells,Director of Strategic Partnerships,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Josh Scott,Controller,https://agricapture.com/about,,VCS5956,direct_website
Althelia Climate Fund,Adam Gibbon,Contact (no title in PDD),PDD VCS1899 dated 25 Nov 2019,From PDD 2019 — no title given in source; person may no longer be at Althelia,VCS1899,older_pdd
Anglo-Eastern Plantations / AEP (parent of PT United Kingdom Indonesia Plantations),Jonathan Law Ngee Song,Non-Executive Chairman,https://aepplantations.com/about-aep/leadership/,Parent of PT United Kingdom Indonesia Plantations (in DATASET_companies.csv),,direct_website
Anglo-Eastern Plantations / AEP (parent of PT United Kingdom Indonesia Plantations),Marcus Chan Jau Chwen,Executive Director,https://aepplantations.com/about-aep/leadership/,Parent of PT United Kingdom Indonesia Plantations,,direct_website
Anglo-Eastern Plantations / AEP (parent of PT United Kingdom Indonesia Plantations),Farah Suhanah Tun Ahmad Sarji,Senior Independent Non-Executive Director,https://aepplantations.com/about-aep/leadership/,Parent of PT United Kingdom Indonesia Plantations,,direct_website
Anglo-Eastern Plantations / AEP (parent of PT United Kingdom Indonesia Plantations),Michael Henry Stainer,Independent Non-Executive Director,https://aepplantations.com/about-aep/leadership/,Parent of PT United Kingdom Indonesia Plantations,,direct_website
Anglo-Eastern Plantations / AEP (parent of PT United Kingdom Indonesia Plantations),Onn Kien Hoe,Independent Non-Executive Director,https://aepplantations.com/about-aep/leadership/,Parent of PT United Kingdom Indonesia Plantations,,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Stefano Pellegrino,CEO - Vietnam,https://aquila.is/about,Position is Vietnam-specific per source page,VCS5930,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Ollie Smeenk,Head of IoT Network - Singapore,https://aquila.is/about,,VCS5930,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Jarek Tkaczyk,Chief Technology Officer - Singapore,https://aquila.is/about,,VCS5930,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Juvjen Mani,Lending Director - Singapore,https://aquila.is/about,,VCS5930,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Giando Zappia,President - Vietnam,https://aquila.is/about,,VCS5930,direct_website
"Asia Assets Developments Co., Ltd.",Alex Chi,Managing Director,"PDDs VCS4381 (2025), VCS5524 (2025)",From PDDs 2025 — appears on multiple Indonesian REDD+ projects,"VCS4381, VCS5524",recent_pdd
"Asia Assets Developments Co., Ltd.",Stephen Shen (Shen Shih-hung),Advisor; former Director General of Environmental Protection Administration (EPA) of Taiwan,"PDDs VCS5524 (2025), VCS4381 (2025) narrative bios","Politically significant: Dr Stephen Shen served 6 years as Director General of Taiwan EPA — equivalent to Minister of Environment. Now advisor on Indonesia carbon projects. Page lists him as ""Dr. Stephen Shen""","VCS4381, VCS5524",recent_pdd
"Asia Assets Developments Co., Ltd.",Lee Chien Ming,Advisor; Professor at National Taipei University (Graduate Institute of Natural Resources and Environmental Management),PDD VCS4381 dated 2025 narrative bio,"From PDD 2025; academic advisor on forest ecology/restoration. Page lists him as ""Dr. Lee, Chien Ming""","VCS4381, VCS5524",recent_pdd
