company,person,position,source,notes,project_id,trust_level
"AgriCapture, Inc. ",Tyler Hull,Chief Executive Officer,https://agricapture.com/about,Executive Leadership,VCS5956,direct_website
"AgriCapture, Inc. ",John Farris,Founder & Executive Chairman,https://agricapture.com/about,Executive Leadership,VCS5956,direct_website
"AgriCapture, Inc. ",John Lanahan,Director of Demand,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Wally Macey,Director of Technology,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Ashton Moody,Director of Product,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Jennifer Wells,Director of Strategic Partnerships,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Josh Scott,Controller,https://agricapture.com/about,,VCS5956,direct_website
"AgriCapture, Inc. ",Tyler Hull,President / Chief Executive Officer,https://agricapture.com/announcement-rice-methane-reduction/ + https://agricapture.com/about,"Confirmed as President in AgriCapture announcement coverage. Tennessee-based. AgriCapture has rice-methane projects in Argentina, Brazil, India, Pakistan, Paraguay, Uruguay, Vietnam + Indonesia (VCS5956)",VCS5956,direct_website
APOLOWNIA SAS,Theo Derache,Co-founder & Chief Executive Officer,https://www.apolownia.com/ourteam,French paulownia tree carbon developer,VCS5448,direct_website
APOLOWNIA SAS,Raphael Der Agopian,Co-founder & Chief Operating Officer,https://www.apolownia.com/ourteam,,VCS5448,direct_website
APOLOWNIA SAS,Alexandre Brunet,Co-founder & Chief Revenue Officer,https://www.apolownia.com/ourteam,,VCS5448,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Stefano Pellegrino,CEO - Vietnam,https://aquila.is/about,Position is Vietnam-specific per source page,VCS5930,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Ollie Smeenk,Head of IoT Network - Singapore,https://aquila.is/about,,VCS5930,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Jarek Tkaczyk,Chief Technology Officer - Singapore,https://aquila.is/about,,VCS5930,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Juvjen Mani,Lending Director - Singapore,https://aquila.is/about,,VCS5930,direct_website
Aquila Climate Technology Holding Pte. Ltd.,Giando Zappia,President - Vietnam,https://aquila.is/about,,VCS5930,direct_website
Bentang Kalimantan,(same entity as Bentang Kalimantan Tangguh),See Bentang Kalimantan Tangguh row(s) for verified leadership,https://bentangkalimantan.org/our-team/,"DATASET_companies.csv lists this as ""Bentang Kalimantan"" (VCS3226) and ""Bentang Kalimantan Tangguh"" (VCS5371). Same organisation","VCS3226, VCS5371",direct_website
Bentang Kalimantan Tangguh,Loren,Chair of the Supervisory Board,https://bentangkalimantan.org/our-team/,,VCS5371,direct_website
Bentang Kalimantan Tangguh,Denni Nurdwiansyah,Founder & Chairman of the Executive Board,https://bentangkalimantan.org/our-team/,"Forester with 10 years' experience in REDD+ mitigation, ecosystem services, sustainable palm oil",VCS5371,direct_website
Bentang Kalimantan Tangguh,Khairuddin Zacky,Secretary of the Executive Board,https://bentangkalimantan.org/our-team/,Legal advocacy specialist; climate policy / jurisdictional approaches,VCS5371,direct_website
Bentang Kalimantan Tangguh,Silvia Filki,Head of Finance Department,https://bentangkalimantan.org/our-team/,7+ years multi-donor financial systems / ISAK 35 accounting,VCS5371,direct_website
Bentang Kalimantan Tangguh,Anton P Widjaya,Director (Executive Board),https://bentangkalimantan.org/our-team/,"Forester and environmental activist with 20+ years managing sustainable natural resource programs. Note: ""Widjaya"" surname (different spelling from Widjaja/Sinar Mas family — likely unrelated, but worth flagging)",VCS5371,direct_website
Bentang Kalimantan Tangguh,Selvianus Saludan,Landscape Manager,https://bentangkalimantan.org/our-team/,,VCS5371,direct_website
Bentang Kalimantan Tangguh,Ivannalis Saputra,Technical Units Manager (GIS specialist),https://bentangkalimantan.org/our-team/,,VCS5371,direct_website
Bentang Kalimantan Tangguh,Dessy Ratnasari,Program Manager,https://bentangkalimantan.org/our-team/,"20+ years sustainable forest management, REDD+. Master's in Forestry",VCS5371,direct_website
Bentang Kalimantan Tangguh,Antonius Purwanto Tito,Program Manager (Good Agriculture Practices),https://bentangkalimantan.org/our-team/,Agroforestry; FFB production,VCS5371,direct_website
